offset,error
-20,0.00022284114374421289
-19,0.00022078647764352377
-18,0.00021883985697887312
-17,0.00021700419107110083
-16,0.00021528231986819887
-15,0.00021367699603452904
-14,0.00021219086647443096
-13,0.00021082645351379691
-12,0.00020958613599427188
-11,0.00020847213056142326
-10,0.00020748647344961881
-9,0.00020663100308002954
-8,0.00020590734379340075
-7,0.00020531689103478782
-6,0.00020486079829251978
-5,0.00020453996606811055
-4,0.00020435503311817401
-3,0.00020430637016455948
-2,0.0002043940762159758
-1,0.00020461797758595748
0,0.00020497762962989712
1,0.00020547232116095119
2,0.00020610108144309289
3,0.00020686268960262716
4,0.0002077556862486882
5,0.00020877838705062426
6,0.00020992889798741106
7,0.00021120513196164835
8,0.00021260482645866967
9,0.00021412556192966663
10,0.00021576478058538953
11,0.00021751980530308721
12,0.00021938785837222194
13,0.00022136607983266275
14,0.0002234515451909741
15,0.00022564128233430519
16,0.00022793228749599671
17,0.0002303215401611415
18,0.00023280601683251887
19,0.00023538270360755402
